date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:52	169044/169044	---M-Z	200	added ('OK')	text/html	etag:%2229454-600acebda7b7d-gzip%22	https://themesbrand.com/invoika/layouts/index-dark.html	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/index-dark.html	(from )
16:40:53	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5afe3c4199080%22	https://themesbrand.com/robots.txt		(from )
16:40:53	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-5f428f5336e4a%22	https://themesbrand.com/invoika/layouts/assets/images/favicon.ico	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/favicon.ico	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:40:54	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-5f428f534e549-gzip%22	https://themesbrand.com/invoika/layouts/assets/libs/jsvectormap/css/jsvectormap.min.css	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:40:56	1168/1168	---M-Z	200	added ('OK')	application/javascript	etag:%22490-600acebd9047c-gzip%22	https://themesbrand.com/invoika/layouts/assets/js/layout.js	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/js/layout.js	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:40:57	270541/270541	---M-Z	200	added ('OK')	text/css	etag:%22420cd-600acebd8f4dc-gzip%22	https://themesbrand.com/invoika/layouts/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:40:58	227038/227038	---M-Z	200	added ('OK')	text/css	etag:%22376de-600acebd8e53c-gzip%22	https://themesbrand.com/invoika/layouts/assets/css/app.min.css	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/css/app.min.css	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:40:58	640419/640419	---MCZ	200	added ('OK')	text/css	etag:%229c5a3-5f4cf502760b5-gzip%22	https://themesbrand.com/invoika/layouts/assets/css/icons.min.css	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/css/icons.min.css	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:40:59	166806/166806	---M-Z	200	added ('OK')	text/html	etag:%2228b96-600acebda7b7d-gzip%22	https://themesbrand.com/invoika/layouts/index.html	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/index.html	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:40:59	13068/13068	---M--	200	added ('OK')	image/png	etag:%22330c-5f428f533cc09%22	https://themesbrand.com/invoika/layouts/assets/images/logo-sm.png	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/logo-sm.png	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:40:59	2445/2445	---M--	200	added ('OK')	image/png	etag:%2298d-5f428f533cc09%22	https://themesbrand.com/invoika/layouts/assets/images/logo-dark.png	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/logo-dark.png	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:40:59	2271/2271	---M--	200	added ('OK')	image/png	etag:%228df-5f428f533cc09%22	https://themesbrand.com/invoika/layouts/assets/images/logo-light.png	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/logo-light.png	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:00	18526/18526	---M--	200	added ('OK')	image/jpeg	etag:%22485e-5f428f533dba9%22	https://themesbrand.com/invoika/layouts/assets/images/users/avatar-2.jpg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/users/avatar-2.jpg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:00	12337/12337	---M--	200	added ('OK')	image/jpeg	etag:%223031-5f428f533dba9%22	https://themesbrand.com/invoika/layouts/assets/images/users/avatar-3.jpg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:00	90338/90338	---M--	200	added ('OK')	image/jpeg	etag:%22160e2-5f428f533dba9%22	https://themesbrand.com/invoika/layouts/assets/images/users/avatar-5.jpg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/users/avatar-5.jpg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:00	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2011:41:01%20GMT	https://themesbrand.com/invoika/layouts/pages-search-results.html	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/pages-search-results.html	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:00	16289/16289	---M--	200	added ('OK')	image/svg+xml	etag:%223fa1-5f428f533bc69%22	https://themesbrand.com/invoika/layouts/assets/images/flags/us.svg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/flags/us.svg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:01	5913/5913	---M--	200	added ('OK')	image/svg+xml	etag:%221719-5f428f533bc69%22	https://themesbrand.com/invoika/layouts/assets/images/flags/spain.svg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/flags/spain.svg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:01	690/690	---M--	200	added ('OK')	image/svg+xml	etag:%222b2-5f428f5338d8a%22	https://themesbrand.com/invoika/layouts/assets/images/flags/germany.svg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/flags/germany.svg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:01	690/690	---M--	200	added ('OK')	image/svg+xml	etag:%222b2-5f428f5339d29%22	https://themesbrand.com/invoika/layouts/assets/images/flags/italy.svg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/flags/italy.svg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:01	702/702	---M--	200	added ('OK')	image/svg+xml	etag:%222be-5f428f533bc69%22	https://themesbrand.com/invoika/layouts/assets/images/flags/russia.svg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/flags/russia.svg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:02	2483/2483	---M--	200	added ('OK')	image/svg+xml	etag:%229b3-5f428f5337dea%22	https://themesbrand.com/invoika/layouts/assets/images/flags/china.svg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/flags/china.svg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:02	428/428	---M--	200	added ('OK')	image/svg+xml	etag:%221ac-5f428f5338d8a%22	https://themesbrand.com/invoika/layouts/assets/images/flags/french.svg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/flags/french.svg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:02	259/259	---M--	200	added ('OK')	image/svg+xml	etag:%22103-5f428f5336e4a%22	https://themesbrand.com/invoika/layouts/assets/images/flags/ae.svg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/flags/ae.svg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:02	13353/13353	---M--	200	added ('OK')	image/jpeg	etag:%223429-5f428f533eb49%22	https://themesbrand.com/invoika/layouts/assets/images/users/avatar-8.jpg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/users/avatar-8.jpg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:03	13780/13780	---M--	200	added ('OK')	image/jpeg	etag:%2235d4-5f428f533dba9%22	https://themesbrand.com/invoika/layouts/assets/images/users/avatar-4.jpg	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/assets/images/users/avatar-4.jpg	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:03	11913/11913	---M-Z	200	added ('OK')	text/html	etag:%222e89-5f428f535b069-gzip%22	https://themesbrand.com/invoika/layouts/auth-lockscreen.html	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/auth-lockscreen.html	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:03	148992/148992	---M-Z	200	added ('OK')	text/html	etag:%2224600-600acebda8b1d-gzip%22	https://themesbrand.com/invoika/layouts/invoice.html	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/invoice.html	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:03	129505/129505	---M-Z	200	added ('OK')	text/html	etag:%221f9e1-600acebda7b7d-gzip%22	https://themesbrand.com/invoika/layouts/invoice-add.html	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/invoice-add.html	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:03	116934/116934	---M-Z	200	added ('OK')	text/html	etag:%221c8c6-600acebda7b7d-gzip%22	https://themesbrand.com/invoika/layouts/invoice-details.html	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/invoice-details.html	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:04	176891/176891	---M-Z	200	added ('OK')	text/html	etag:%222b2fb-600acebda8b1d-gzip%22	https://themesbrand.com/invoika/layouts/payments.html	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/payments.html	(from https://themesbrand.com/invoika/layouts/index-dark.html)
16:41:04	112628/112628	---M-Z	200	added ('OK')	text/html	etag:%221b7f4-600acebdaaa5d-gzip%22	https://themesbrand.com/invoika/layouts/taxes.html	C:/My%20Web%20Sites/dark%20admin%20template/themesbrand.com/invoika/layouts/taxes.html	(from https://themesbrand.com/invoika/layouts/index-dark.html)
